coin,r2_lasso,r2_ridge,mse_lasso,mse_ridge,mean_actual_return,std_actual_return,realized_sharpe
DAIUSD,0.1989161369393163,0.1975513572190572,1.0317326816650948e-07,1.0334904100448493e-07,5.545338237498654e-09,0.0003588957621193,1.5451110943057992e-05
PAXGUSD,0.0899097068021536,0.0826229207073832,8.62899448978722e-06,8.698083938966042e-06,3.339725085936305e-05,0.0030793849573713,0.010845428980685946
BNCUSD,0.0856618489051087,0.0882575996792311,0.0002348965503714,0.0002342296932554,-0.0003752540610473,0.0160309347512448,-0.023408121040363015
KILTUSD,0.0847027931870301,0.0875216026883883,0.0003973254811189,0.0003961018514247,-0.0004611269157179,0.0208377123529193,-0.022129440502296673
OXYUSD,0.0806657887991366,0.0820127234505735,0.0012328387712389,0.0012310325148847,-0.0003756724982749,0.0366276065317356,-0.010256539639012517
REPUSD,0.0537714367683396,0.051770023651853,0.0007106824638734,0.0007121856622127,-0.0002254401574979,0.0274076588825545,-0.008225443787955089
MIRUSD,0.052943154689784,0.0540101787801405,0.0010785229558301,0.0010773078123235,-4.907186630317857e-05,0.0337505724623274,-0.0014539565620095155
KARUSD,0.044133304142414,0.0460615335347354,0.0004207644850814,0.0004199156947104,-0.0005066000447101,0.0209837430295152,-0.024142501363914406
REPV2USD,0.0413689972289391,0.0296362242295401,0.0009842528209157,0.0009962991817036,-0.0001371355476799,0.0320459293566023,-0.0042793437554541226
GHSTUSD,0.0320312709092351,0.0390088732864681,0.0003404195670507,0.0003379656526742,-6.528799248250848e-05,0.0187583502552794,-0.003480476246259111
RARIUSD,0.0308709482977729,0.0206321994814911,0.0003083717324951,0.000311629648152,-0.0002783134841194,0.0178400617311325,-0.015600477639251558
EWTUSD,0.026045450867669,0.0256314603534173,0.0002045874899197,0.0002046744521709,-0.0001809709213598,0.0144944626061621,-0.012485521283339128
SDNUSD,0.0218800706078535,-0.1651129710267074,0.0003898056892914,0.0004643271761732,-8.969970166556579e-05,0.0199679946410998,-0.004492173764957766
KEEPUSD,0.0193475592508258,0.0294331445270633,0.0005048824898703,0.00049968999231,-2.9926596592915102e-06,0.0226924734864396,-0.00013187895365746893
