,0
ma_zscore_14,0.059041206
sto_osc_14,0.051332638
close_to_high,0.045738023
volume,0.044620823
beta_market,0.04058532
open,0.03902434
mom_14_2,0.03880691
amihud_14,0.038103584
log_return,0.03806081
rsi,0.03706458
mom_2_1,0.035036813
ltrev_28,0.034962025
filename_id,0.034895226
macd_hist,0.033901356
price_ema_diff_14,0.0322564
strev_6,0.030990032
realized_vol_14,0.030731691
weighted_vol_14,0.02935791
ema_diff_norm_20_50,0.02910409
close_to_low,0.02910152
mom_36_13,0.028803274
log_price_range,0.028689079
volume_change,0.026968682
volume_zscore_14,0.026898468
ema_diff_norm_10_21,0.026408777
mom_12_7,0.026251884
trades,0.023271704
low,0.021266332
high,0.018121315
vwap_14,0.015777
close,0.0048281965
return,0.0
